college_code,college_clean,branch_canonical,category,mean_cutoff,min_cutoff,max_cutoff,std_cutoff,n_years,latest_cutoff,trend,predicted_2026
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,3BG,3459.0,3459,3459,0.0,1,3459,461.19999995388,3920
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,GM,2557.0,2557,2557,0.0,1,2557,607.3999999392599,3164
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,GMK,4304.0,4304,4304,0.0,1,4304,1788.49999982115,6092
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,GMR,4575.0,4575,4575,0.0,1,4575,392.59999996074,4968
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,SCG,17101.0,17101,17101,0.0,1,17101,3838.39999961616,20939
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,SCR,22480.0,22480,22480,0.0,1,22480,3923.39999960766,26403
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,STG,9543.0,9543,9543,0.0,1,9543,5392.1999994607795,14935
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,STK,17615.0,17615,17615,0.0,1,17615,0.0,17615
E001,University Visveswariah College of Engineering Bangalore,INFORMATION SCIENCE AND ENGINEERING,STR,14699.0,14699,14699,0.0,1,14699,5287.09999947129,19986
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,1G,37965.0,37965,37965,0.0,1,37965,1622.3999998377599,39587
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,1R,50784.0,50784,50784,0.0,1,50784,-43.89999999561,50740
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,2AG,45666.0,45666,45666,0.0,1,45666,1790.39999982096,47456
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,2AK,48601.0,48601,48601,0.0,1,48601,996.79999990032,49598
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,2AR,60263.0,60263,60263,0.0,1,60263,-793.59999992064,59469
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,2BG,45062.0,45062,45062,0.0,1,45062,5543.39999944566,50605
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,2BR,68722.0,68722,68722,0.0,1,68722,6141.49999938585,74863
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,3AG,32397.0,32397,32397,0.0,1,32397,-1447.09999985529,30950
E001,University Visveswariah College of Engineering Bangalore,MECHANICAL ENGINEERING,3AK,10939984367.0,10939984367,10939984367,0.0,1,10939984367,9.223372002190451e+17,250000
